Date,Product,Price,Card,Country
1/6/09 3:17,Bag,1200,Visa,Israel
1/2/09 8:17,Notebook,1200,Dinners,Ireland
1/3/09 11:17,Scale,1200,Amex,Egypt
1/7/09 12:17,Shoes,1200,Mastercard,South Korea
1/9/09 10:17,Shoes,1200,Visa,Japan
1/2/09 6:17,Shoes,1200,Mastercard,United Kingdom
1/2/09 8:17,Pencil,1200,Visa,United Stated
1/2/09 9:17,Scarf,1200,Dinners,Australia
1/4/09 11:17,Books,1200,Amex,India
1/5/09 2:17,Pen,1200,Mastercard,Netherlands
1/6/09 3:17,Bag,1200,Visa,Israel
1/2/09 8:17,Notebook,1200,Dinners,Ireland
1/3/09 11:17,Scale,1200,Amex,Egypt
1/7/09 12:17,Shoes,1200,Mastercard,South Korea
1/9/09 10:17,Shoes,1200,Visa,Japan
1/2/09 6:17,Shoes,1200,Mastercard,United Kingdom
1/2/09 8:17,Pencil,1200,Visa,United Stated
1/2/09 9:17,Scarf,1200,Dinners,Australia
1/4/09 11:17,Books,1200,Amex,India
1/5/09 2:17,Pen,1200,Mastercard,Netherlands
1/6/09 3:17,Bag,1200,Visa,Israel
1/2/09 8:17,Notebook,1200,Dinners,Ireland
1/3/09 11:17,Scale,1200,Amex,Egypt
1/7/09 12:17,Shoes,1200,Mastercard,South Korea
1/9/09 10:17,Shoes,1200,Visa,Japan
1/2/09 6:17,Shoes,1200,Mastercard,United Kingdom
1/2/09 8:17,Pencil,1200,Visa,United Stated
1/2/09 9:17,Scarf,1200,Dinners,Australia
1/4/09 11:17,Books,1200,Amex,India
1/5/09 2:17,Pen,1200,Mastercard,Netherlands
1/6/09 3:17,Bag,1200,Visa,Israel
1/2/09 8:17,Notebook,1200,Dinners,Ireland
1/3/09 11:17,Scale,1200,Amex,Egypt
1/7/09 12:17,Shoes,1200,Mastercard,South Korea
1/9/09 10:17,Shoes,1200,Visa,Japan
